track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timesig,popularity,duration_ms,year_released
3cuOpppX5ZNOQ843dPeFB4,0.701,0.444,10,-10.272,1,0.0358,0.898,3.44e-06,0.26,0.843,126.401,4,44,172773,1964
6a5XgyiyTG5Ok7cZ1LMLGh,0.149,0.111,4,-24.803,0,0.0333,0.725,0.647,0.071,0.0326,82.399,4,11,346333,1978
4ZVZBc5xvMyV3WzWktn8i7,0.807,0.497,7,-10.656,1,0.0297,0.306,0.0323,0.043,0.765,114.523,4,65,141506,1969
1Y5YesFGgIlV7SnfE13G8k,0.515,0.205,7,-17.959,0,0.0369,0.871,0.0339,0.147,0.452,80.97,4,2,325611,1990
29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,4,68,139226,1968
3A9yRjIhRGSZIeuV0MT7lB,0.504,0.599,10,-9.497,0,0.0657,0.797,0.000136,0.352,0.713,164.827,3,31,180306,1952
1pmZWOaD7Plss3Iq0dEQNJ,0.565,0.687,0,-4.653,0,0.071,0.744,0.0,0.19,0.751,104.432,4,11,182560,1954
6nqhMMxnXbb2kMuh2cNd2L,0.357,0.0898,10,-19.969,1,0.035,0.851,0.923,0.11,0.208,200.078,3,33,301026,1998
683b4ikwa62JevCjwrmfg6,0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,4,69,274040,1970
7JtcCde09fsajDNHmPFrX7,0.611,0.24,7,-16.534,0,0.0387,0.951,0.773,0.0815,0.586,102.436,4,46,360546,1960
3MRu7wA7ziRNf2cZr9gqtb,0.632,0.202,2,-13.068,0,0.0587,0.766,0.0,0.146,0.488,134.298,3,36,228066,1958
1h3X4QybzSWb7XaokCC6iF,0.644,0.0985,4,-20.087,0,0.0863,0.964,0.292,0.109,0.303,111.467,4,25,338826,1962
1cIPfxkVrIglSgpYCtYyCN,0.249,0.188,2,-16.105,1,0.035,0.967,2.23e-05,0.188,0.1,93.054,4,11,186466,1958
0Jw3cPBXlGnA6DEJrZSTI0,0.551,0.722,5,-9.247,0,0.0529,0.571,0.000306,0.629,0.821,153.181,4,59,166589,1962
6A8IR5kVgXncIBC9W0YHjL,0.501,0.202,9,-21.447,1,0.0682,0.219,0.716,0.111,0.134,136.622,4,37,307400,1971
7Lc2YRsMg2lLDVhnKKfTTP,0.552,0.135,9,-15.629,0,0.0439,0.982,0.858,0.136,0.54,82.977,4,27,245440,1994
4Ce66JznW8QbeyTdSzdGwR,0.581,0.672,8,-8.279,1,0.0602,0.104,0.856,0.0458,0.808,111.154,4,55,941360,1973
4SrJyRdyHYxxkcVMQ3QkGE,0.572,0.152,9,-15.658,0,0.0408,0.961,0.000432,0.136,0.339,127.497,4,64,254666,1989
1dzET7BBRv2apibgAwkLls,0.383,0.607,7,-12.103,1,0.0358,0.17,0.777,0.113,0.435,144.245,4,37,651733,1976
3jaUMGTyi4XHBZpXpIWzo2,0.464,0.0059,1,-22.41,1,0.0608,0.945,0.904,0.139,0.297,95.178,4,46,254026,1987
